seed,mode,n_states,sigma_max_mean,sigma_max_sd,sigma_min_mean,sigma_min_sd,kappa_mean,kappa_median,kappa_sd,fro_mean,nuc_mean,elapsed_s
9,clone,400,0.9129225585651177,0.23173953010287823,0.037317687147101604,0.06279413625633057,4004.860753382087,103.6470308372588,21330.037521114053,1.12511146091759,1.8747639285838775,
9,normmatched_clone,400,1.012297007860171,0.2546297162354432,0.08979075335561461,0.10071162278747385,1388.1887397337764,19.87869967117116,12151.619327538983,1.3572836932359462,2.4768140254546362,
9,self,400,1.098315172308534,0.24588170550581295,0.10363610354516706,0.11315719297640361,8254.487210755324,17.472030813709885,69035.70497168474,1.4559073363595658,2.6176908132498524,106.57983446121216
9,wrong_traj,400,1.1032803450191444,0.23988294622340448,0.1089742953628402,0.11114911015558682,4631.842377168158,14.780456717187334,38806.7653697217,1.4677303618123587,2.6518550374206824,
10,clone,400,0.863721850098176,0.24361122697654994,0.09511015516830801,0.09856407612449394,281.93310375578534,14.646738468001075,2047.4732363803969,1.1441938417063036,2.093016726838776,
10,normmatched_clone,400,0.9404687648683128,0.23550547848406808,0.1543443802114819,0.12152262517580703,38.83048276875854,7.455286640575125,182.52324080205696,1.3030442617552365,2.4978374188708594,
10,self,400,0.8912009703933477,0.23580944208006366,0.1529582392320849,0.117884434713988,98.5486187929611,7.018779222094114,944.6412514534296,1.2621580370984447,2.4738870329793703,107.05077314376831
10,wrong_traj,400,0.8779727983599789,0.23447342523643402,0.14861572045713817,0.11901453871605795,64.07616932110523,7.312350459649998,451.5900528075643,1.2414767604806074,2.4351313578775473,
11,clone,400,0.924927086596248,0.37386498227511267,0.19700185102354348,0.15060807412224278,19.05448297321172,4.912747179523025,62.16170862729769,1.306244620481607,2.588063017441682,
11,normmatched_clone,400,0.9044046082280468,0.2773870486708516,0.12478973505034607,0.11460619673236065,29.49593061389407,9.340847116418203,57.96196484111368,1.215105000197882,2.269998611173004,
11,self,400,1.0035549039534173,0.24432828768717857,0.1151361845453393,0.11656211420389749,59.992328794073984,12.906135993567004,161.26506960036977,1.3404843443116554,2.4721713856262935,107.04898619651794
11,wrong_traj,400,1.007685439226769,0.25536249121183335,0.11705195870354976,0.1158394691370364,54.81828293050308,12.194215374768813,142.78240433754266,1.3501855919461763,2.491622063339592,
12,clone,400,0.8804003772131921,0.25354812917522823,0.09499546355226529,0.12170860384946704,593.3978876903591,20.514613959024814,2502.845105669316,1.2005442545431928,2.1700062867442313,
12,normmatched_clone,400,0.958666280933204,0.23028625570853148,0.1816523711146581,0.15534561640998265,262.1544610951338,6.370705671090093,1774.2431651777028,1.4037599136513796,2.722746944184466,
12,self,400,1.042731695196538,0.19355714562981702,0.15986780832311498,0.14799559963908615,593.7515535163238,9.762039202052168,9383.602485263238,1.4825250665637535,2.837766373717738,106.5508165359497
12,wrong_traj,400,1.0354789669408826,0.2017969828411798,0.16220252887744147,0.14813157863478651,585.1925332886851,9.320245778667807,9380.85572243794,1.466359519417251,2.8052972453069107,
13,clone,400,1.1831125476142088,0.29994671251335014,0.12189261994313488,0.10960238565511496,55.040278600980216,12.64591364860254,137.42052581559304,1.5273488365277785,2.789224713634387,
13,normmatched_clone,400,1.0734672775423815,0.29879842134498075,0.06773655518632658,0.07910122418477043,589.6246929478536,25.683716829873422,3767.7123442221923,1.3506074537835786,2.3343906540965316,
13,self,400,1.1768839780338758,0.27961398177254543,0.06868637256354612,0.08355534840361335,378.4830562353447,33.20976590971664,1588.2456065428223,1.3957206915486813,2.3516562139160446,108.17161011695862
13,wrong_traj,400,1.1649528823761228,0.26724899760862253,0.06622843494300054,0.08139316093019495,378.0531188872821,36.05730687648708,1381.2751166644416,1.3830427573494677,2.3272015992901847,
14,clone,400,1.3781766579091896,0.22262068186208198,0.17540839505988873,0.11192924883258168,220.56827274205455,6.728187220725824,1320.736365834856,1.9666787190233999,3.798325641816254,
14,normmatched_clone,400,1.3129679705114887,0.29651021657501825,0.14746762414059003,0.1095275847626822,500.54420850518807,9.668080233255331,5019.749542432878,1.8307952061637054,3.486811296820796,
14,self,400,1.253791353611837,0.28393260726152203,0.1529733129200627,0.11103266478962354,185.79031211745922,8.393441408535516,969.264766236249,1.8095209622500028,3.474423768013817,106.56457757949829
14,wrong_traj,400,1.2712695173546584,0.2813170707275034,0.16045901042467606,0.11148880054421195,183.1836992163352,7.764174212821393,941.8921815713028,1.845995758976362,3.559154567640245,
15,clone,400,0.9948463874614337,0.30250715764869657,0.07758023982662762,0.085903551783744,1739.7403678946512,23.588976052248235,13693.366241394535,1.2633613471245706,2.2109197741220865,
15,normmatched_clone,400,1.2963183041713058,0.2232045970981453,0.26193587551165165,0.08919537911259164,6.3860734724978565,4.608588697225109,6.78299090458522,1.891463229061096,3.8112166794875657,
15,self,400,1.3228782963054806,0.18315501087710787,0.25533648094391337,0.09632385981654393,8.388702808373592,4.711341995518159,17.192419238158287,1.9390061054096568,3.890430282748891,106.1335301399231
15,wrong_traj,400,1.3256495995599118,0.18439026257754249,0.25767645436126013,0.09381013086436389,7.59810798828391,4.6396432860365895,9.579843026166996,1.9452464760586954,3.9065713747667496,
16,clone,400,0.9695337144145105,0.28503976968473116,0.12333299846370263,0.11248191059511548,170.32855953850324,10.032115354251685,1297.1587747623767,1.2720192104104844,2.3279419016004397,
16,normmatched_clone,400,0.9530009383480481,0.25452712497641117,0.09162130597989859,0.08728874037387528,110.82663961647215,14.698398116500854,522.9723105773709,1.2233930918031957,2.186422931121365,
16,self,400,0.8967704537885779,0.27128866511487915,0.09267326266263395,0.08624150704443002,57.70830585551579,13.280670350576248,193.4297577157702,1.1671112726673425,2.114373450446169,107.58398818969727
