seed_model,alpha,interp_type,acc_t1,acc_t3,gain
9,0.6,clone,0.800000,0.795000,-0.005000
9,0.7,zero,0.800000,0.835000,0.035000
9,0.7,shuffle,0.800000,0.805000,0.005000
9,0.7,clone,0.800000,0.790000,-0.010000
9,0.8,zero,0.800000,0.830000,0.030000
9,0.8,shuffle,0.800000,0.800000,0.000000
9,0.8,clone,0.800000,0.800000,0.000000
9,0.9,zero,0.800000,0.830000,0.030000
9,0.9,shuffle,0.800000,0.810000,0.010000
9,0.9,clone,0.800000,0.815000,0.015000
9,1.0,zero,0.800000,0.830000,0.030000
9,1.0,shuffle,0.800000,0.830000,0.030000
9,1.0,clone,0.800000,0.830000,0.030000
10,0.0,zero,0.720000,0.720000,0.000000
10,0.0,shuffle,0.720000,0.560000,-0.160000
10,0.0,clone,0.720000,0.515000,-0.205000
10,0.1,zero,0.720000,0.745000,0.025000
10,0.1,shuffle,0.720000,0.600000,-0.120000
10,0.1,clone,0.720000,0.525000,-0.195000
10,0.2,zero,0.720000,0.755000,0.035000
10,0.2,shuffle,0.720000,0.620000,-0.100000
10,0.2,clone,0.720000,0.530000,-0.190000
10,0.3,zero,0.720000,0.775000,0.055000
10,0.3,shuffle,0.720000,0.665000,-0.055000
10,0.3,clone,0.720000,0.545000,-0.175000
10,0.4,zero,0.720000,0.785000,0.065000
10,0.4,shuffle,0.720000,0.695000,-0.025000
10,0.4,clone,0.720000,0.570000,-0.150000
10,0.5,zero,0.720000,0.765000,0.045000
10,0.5,shuffle,0.720000,0.690000,-0.030000
10,0.5,clone,0.720000,0.590000,-0.130000
10,0.6,zero,0.720000,0.775000,0.055000
10,0.6,shuffle,0.720000,0.700000,-0.020000
10,0.6,clone,0.720000,0.630000,-0.090000
10,0.7,zero,0.720000,0.770000,0.050000
10,0.7,shuffle,0.720000,0.735000,0.015000
10,0.7,clone,0.720000,0.675000,-0.045000
10,0.8,zero,0.720000,0.760000,0.040000
10,0.8,shuffle,0.720000,0.760000,0.040000
10,0.8,clone,0.720000,0.715000,-0.005000
10,0.9,zero,0.720000,0.755000,0.035000
10,0.9,shuffle,0.720000,0.785000,0.065000
10,0.9,clone,0.720000,0.750000,0.030000
10,1.0,zero,0.720000,0.750000,0.030000
10,1.0,shuffle,0.720000,0.750000,0.030000
10,1.0,clone,0.720000,0.750000,0.030000
11,0.0,zero,0.735000,0.735000,0.000000
11,0.0,shuffle,0.735000,0.610000,-0.125000
11,0.0,clone,0.735000,0.565000,-0.170000
11,0.1,zero,0.735000,0.750000,0.015000
11,0.1,shuffle,0.735000,0.615000,-0.120000
11,0.1,clone,0.735000,0.600000,-0.135000
11,0.2,zero,0.735000,0.745000,0.010000
11,0.2,shuffle,0.735000,0.620000,-0.115000
11,0.2,clone,0.735000,0.630000,-0.105000
11,0.3,zero,0.735000,0.755000,0.020000
11,0.3,shuffle,0.735000,0.630000,-0.105000
11,0.3,clone,0.735000,0.660000,-0.075000
11,0.4,zero,0.735000,0.770000,0.035000
11,0.4,shuffle,0.735000,0.650000,-0.085000
11,0.4,clone,0.735000,0.680000,-0.055000
11,0.5,zero,0.735000,0.775000,0.040000
11,0.5,shuffle,0.735000,0.695000,-0.040000
11,0.5,clone,0.735000,0.695000,-0.040000
11,0.6,zero,0.735000,0.775000,0.040000
11,0.6,shuffle,0.735000,0.720000,-0.015000
11,0.6,clone,0.735000,0.695000,-0.040000
11,0.7,zero,0.735000,0.765000,0.030000
11,0.7,shuffle,0.735000,0.735000,0.000000
11,0.7,clone,0.735000,0.725000,-0.010000
11,0.8,zero,0.735000,0.760000,0.025000
11,0.8,shuffle,0.735000,0.760000,0.025000
11,0.8,clone,0.735000,0.745000,0.010000
11,0.9,zero,0.735000,0.765000,0.030000
11,0.9,shuffle,0.735000,0.760000,0.025000
11,0.9,clone,0.735000,0.760000,0.025000
11,1.0,zero,0.735000,0.770000,0.035000
11,1.0,shuffle,0.735000,0.770000,0.035000
11,1.0,clone,0.735000,0.770000,0.035000
12,0.0,zero,0.695000,0.695000,0.000000
12,0.0,shuffle,0.695000,0.550000,-0.145000
12,0.0,clone,0.695000,0.635000,-0.060000
12,0.1,zero,0.695000,0.720000,0.025000
12,0.1,shuffle,0.695000,0.565000,-0.130000
12,0.1,clone,0.695000,0.650000,-0.045000
12,0.2,zero,0.695000,0.755000,0.060000
12,0.2,shuffle,0.695000,0.600000,-0.095000
12,0.2,clone,0.695000,0.700000,0.005000
