w1,w2,w3,tau,seed_model,acc_t1,acc_t2,acc_t3,gain,r_norm,delta_norm
0.0,0.5,1.0,2.0,1,0.805,0.855,0.845,0.039999999999999925,2.778164379624603,1.8412715971931692
0.0,0.5,1.0,2.0,3,0.755,0.79,0.755,0.0,3.0994817972032678,1.8438236931692273
0.0,0.5,1.0,2.0,6,0.775,0.715,0.705,-0.07000000000000006,2.2013703659095576,0.9561486263243801
0.0,0.5,1.0,2.0,7,0.83,0.84,0.81,-0.019999999999999907,2.350227893800125,1.451800000772243
0.0,0.5,1.0,2.0,8,0.72,0.76,0.77,0.050000000000000044,2.781952455173051,1.736843349196313
0.0,0.5,1.0,2.0,9,0.8,0.835,0.83,0.029999999999999916,2.501549047203532,1.583659805037431
0.0,0.5,1.0,3.0,0,0.77,0.815,0.83,0.05999999999999994,2.19069477991932,1.6792265841134446
0.0,0.5,1.0,3.0,1,0.815,0.86,0.845,0.030000000000000027,2.2406347476069475,1.6605434934959626
0.0,0.5,1.0,3.0,5,0.78,0.8,0.785,0.0050000000000000044,2.046597507187137,1.0111933472906884
0.0,0.5,1.0,3.0,3,0.775,0.78,0.78,0.0050000000000000044,2.6843536895004068,1.6656350830403535
0.0,0.5,1.0,3.0,6,0.79,0.74,0.735,-0.05500000000000005,1.6933246145317173,0.765474708775414
0.0,0.5,1.0,3.0,2,0.675,0.785,0.795,0.12,2.59260860074987,2.1106795800642497
0.0,0.5,1.0,3.0,7,0.815,0.84,0.825,0.010000000000000009,1.8861122329643047,1.2280925491093193
0.0,0.5,1.0,3.0,4,0.775,0.86,0.89,0.11499999999999999,2.3371385287976376,1.6495195560251716
0.0,0.5,1.0,3.0,9,0.825,0.83,0.83,0.0050000000000000044,2.06987615251723,1.3404395440760566
0.0,0.5,1.0,3.0,8,0.745,0.775,0.795,0.050000000000000044,2.14247475562709,1.3480656528072663
0.0,0.5,1.0,5.0,1,0.825,0.875,0.875,0.050000000000000044,1.6401830833321334,1.324945486855877
0.0,0.5,1.0,5.0,0,0.79,0.825,0.845,0.05499999999999994,1.5799897875976643,1.2792195716856947
0.0,0.5,1.0,5.0,2,0.71,0.795,0.81,0.10000000000000009,2.0341756332597476,1.5974225826156376
0.0,0.5,1.0,5.0,3,0.785,0.79,0.79,0.0050000000000000044,1.8728923582758807,1.1572574906204034
0.0,0.5,1.0,5.0,4,0.8,0.88,0.895,0.09499999999999997,1.713378441870326,1.171689348962408
0.0,0.5,1.0,5.0,5,0.81,0.795,0.795,-0.015000000000000013,1.4061988880281842,0.6564789096485364
0.0,0.5,1.0,5.0,6,0.81,0.78,0.77,-0.040000000000000036,1.1460365803915984,0.5379128116038391
0.0,0.5,1.0,5.0,7,0.82,0.835,0.815,-0.0050000000000000044,1.3606316217055103,0.9125660963313517
0.0,0.5,1.0,5.0,8,0.78,0.78,0.765,-0.015000000000000013,1.3448348529476795,0.7805244873729759
0.0,0.5,1.0,5.0,9,0.815,0.815,0.83,0.015000000000000013,1.4586278400266004,0.9234865172081563
0.1,0.1,1.0,1.0,2,0.715,0.765,0.795,0.08000000000000007,3.4367565678126204,2.4541718758016042
0.1,0.1,1.0,1.0,0,0.795,0.545,0.8,0.0050000000000000044,3.366387703733778,3.2132384057586614
0.1,0.1,1.0,1.0,4,0.785,0.67,0.785,0.0,3.7071884059853244,2.7071471775845906
0.1,0.1,1.0,1.0,1,0.84,0.805,0.815,-0.025000000000000022,3.3876453970368856,2.1592525118944033
0.1,0.1,1.0,1.0,3,0.72,0.725,0.765,0.04500000000000004,3.2810592449105567,2.221318425059512
0.1,0.1,1.0,1.0,5,0.74,0.705,0.75,0.010000000000000009,2.940259407379606,1.6798190371594026
0.1,0.1,1.0,1.0,6,0.725,0.69,0.68,-0.04499999999999993,3.072672480722963,1.2613836896201753
0.1,0.1,1.0,1.0,7,0.78,0.77,0.77,-0.010000000000000009,3.0167569475798324,1.6084496891816067
0.1,0.1,1.0,1.0,8,0.705,0.71,0.74,0.03500000000000003,3.2790164296821613,2.150084630318155
0.1,0.1,1.0,1.0,9,0.775,0.825,0.81,0.03500000000000003,3.1935731161221326,2.085855489144762
0.1,0.1,1.0,1.5,1,0.84,0.84,0.86,0.020000000000000018,3.033947579762879,1.9173164725908725
0.1,0.1,1.0,1.5,0,0.805,0.83,0.84,0.03499999999999992,3.1596427396286537,1.88192945335645
0.1,0.1,1.0,1.5,3,0.75,0.73,0.77,0.020000000000000018,3.0029377939968436,2.2222714856956634
0.1,0.1,1.0,1.5,2,0.72,0.77,0.8,0.08000000000000007,3.1308784662922435,2.316246078657654
0.1,0.1,1.0,1.5,4,0.815,0.86,0.84,0.025000000000000022,3.1256609321684397,1.6394704434119551
0.1,0.1,1.0,1.5,5,0.745,0.725,0.785,0.040000000000000036,2.6788164148452585,1.6254508970473398
0.1,0.1,1.0,1.5,7,0.795,0.81,0.785,-0.010000000000000009,2.654447574205791,1.5584415037774988
0.1,0.1,1.0,1.5,6,0.775,0.69,0.67,-0.10499999999999998,2.5863096530733403,1.0777977921419781
0.1,0.1,1.0,1.5,8,0.715,0.765,0.735,0.020000000000000018,2.927492994307157,1.835492846631051
0.1,0.1,1.0,1.5,9,0.8,0.825,0.825,0.02499999999999991,2.7723094355265903,1.7211405487552895
0.1,0.1,1.0,2.0,1,0.84,0.84,0.845,0.0050000000000000044,2.6927929574073506,1.7752817950503934
0.1,0.1,1.0,2.0,0,0.82,0.825,0.82,0.0,2.6053531844687416,1.8898828039498512
0.1,0.1,1.0,2.0,2,0.7,0.785,0.815,0.11499999999999999,2.8844150346871675,2.194601079817312
0.1,0.1,1.0,2.0,3,0.77,0.73,0.8,0.030000000000000027,2.855202678576347,2.0618631709142656
0.1,0.1,1.0,2.0,4,0.795,0.835,0.86,0.06499999999999995,2.6768579269196406,1.5733631610529495
0.1,0.1,1.0,2.0,5,0.765,0.725,0.775,0.010000000000000009,2.4230811566278474,1.5128622911534746
0.1,0.1,1.0,2.0,6,0.785,0.71,0.695,-0.09000000000000008,2.1949241396015617,0.9346331496110623
0.1,0.1,1.0,2.0,7,0.825,0.83,0.81,-0.014999999999999902,2.3181606544477176,1.4038769975588645
0.1,0.1,1.0,2.0,8,0.75,0.765,0.755,0.0050000000000000044,2.5491936042235945,1.5140769209983178
0.1,0.1,1.0,2.0,9,0.815,0.83,0.835,0.020000000000000018,2.4454773853514964,1.5210518286539954
