seed,aligner_size,aligner_params,lr,bl_gain,c2_raw_gain,static_pt_gain,static_pt_acc_t1,static_pt_acc_t3,epochs_run,best_val_loss,elapsed_s
16,MLP-small,181,0.01,0.1350000500679016,0.0700000524520874,0.14500004053115845,0.7799999713897705,0.925000011920929,1610,1.9241728906717168,1.6343202590942383
16,MLP-medium,4869,0.01,0.1350000500679016,0.0700000524520874,0.14000004529953003,0.7799999713897705,0.9200000166893005,360,1.873349677591279,1.6446712017059326
16,MLP-large,17925,0.01,0.1350000500679016,0.0700000524520874,0.14000004529953003,0.7799999713897705,0.9200000166893005,264,1.8685755594386586,3.343400716781616
17,affine,30,0.01,0.31999996304512024,-0.030000001192092896,0.29999998211860657,0.39500001072883606,0.6949999928474426,2000,1.4546190021330685,1.16056227684021
17,MLP-small,181,0.01,0.31999996304512024,-0.030000001192092896,0.33500000834465027,0.39500001072883606,0.7300000190734863,1279,1.0285551283280971,1.2486066818237305
17,MLP-medium,4869,0.01,0.31999996304512024,-0.030000001192092896,0.31999996304512024,0.39500001072883606,0.7149999737739563,331,1.0115134780332729,1.5362529754638672
17,MLP-large,17925,0.01,0.31999996304512024,-0.030000001192092896,0.31999996304512024,0.39500001072883606,0.7149999737739563,356,0.988846847634652,4.7500622272491455
18,affine,30,0.01,0.1499999761581421,0.009999990463256836,0.13999998569488525,0.7300000190734863,0.8700000047683716,1642,2.7743527261720535,0.9370574951171875
18,MLP-small,181,0.01,0.1499999761581421,0.009999990463256836,0.13499999046325684,0.7300000190734863,0.8650000095367432,2000,2.257751262877246,2.0093817710876465
18,MLP-medium,4869,0.01,0.1499999761581421,0.009999990463256836,0.12999999523162842,0.7300000190734863,0.8600000143051147,306,2.142968297867467,1.3392577171325684
18,MLP-large,17925,0.01,0.1499999761581421,0.009999990463256836,0.13999998569488525,0.7300000190734863,0.8700000047683716,255,2.1275857451138953,3.1861491203308105
19,affine,30,0.01,0.22499996423721313,0.019999980926513672,0.14499998092651367,0.7400000095367432,0.8849999904632568,768,3.756208955108541,0.4759984016418457
19,MLP-small,181,0.01,0.22499996423721313,0.019999980926513672,0.17500001192092896,0.7400000095367432,0.9150000214576721,618,2.6630777682578737,0.5925390720367432
19,MLP-medium,4869,0.01,0.22499996423721313,0.019999980926513672,0.1850000023841858,0.7400000095367432,0.925000011920929,354,2.5384172956591957,1.6395421028137207
19,MLP-large,17925,0.01,0.22499996423721313,0.019999980926513672,0.20499998331069946,0.7400000095367432,0.9449999928474426,322,2.53878783503237,4.211160898208618
