seed,aligner_size,shuffled_donor_gain,acc_t1,acc_t3,shuffled_donor_gain_std,shuffled_donor_n_repeats,closed_loop_gain,bl_gain,c2_raw_gain
10,affine,-0.23449999193350474,0.7649999856948853,0.5304999937613805,0.022869574840092576,30,,0.19499999284744263,-0.050000011920928955
10,MLP-small,-0.27549998462200165,0.7649999856948853,0.4895000010728836,0.031137900603525732,30,,0.19499999284744263,-0.050000011920928955
10,MLP-medium,-0.2574999839067459,0.7649999856948853,0.5075000017881394,0.03112128809315034,30,,0.19499999284744263,-0.050000011920928955
10,MLP-large,-0.2616666535536448,0.7649999856948853,0.5033333321412404,0.03009562969367272,30,,0.19499999284744263,-0.050000011920928955
11,affine,-0.30133334596951805,0.800000011920929,0.4986666659514109,0.0283431354447364,30,,0.1499999761581421,-0.3400000035762787
11,MLP-small,-0.32700001299381254,0.800000011920929,0.4729999989271164,0.03294718613413843,30,,0.1499999761581421,-0.3400000035762787
11,MLP-medium,-0.328000013033549,0.800000011920929,0.47199999888738,0.03152995107489058,30,,0.1499999761581421,-0.3400000035762787
11,MLP-large,-0.3006666799386342,0.800000011920929,0.49933333198229474,0.03033528937822609,30,,0.1499999761581421,-0.3400000035762787
12,affine,-0.0526666800181071,0.6150000095367432,0.562333329518636,0.039517197623122245,30,,0.21999996900558472,0.050000011920928955
12,MLP-small,-0.05166667699813843,0.6150000095367432,0.5633333325386047,0.035895761794249935,30,,0.21999996900558472,0.050000011920928955
12,MLP-medium,-0.041166677077611284,0.6150000095367432,0.5738333324591319,0.03193968797326886,30,,0.21999996900558472,0.050000011920928955
12,MLP-large,-0.05633334716161092,0.6150000095367432,0.5586666623751323,0.03224190542614718,30,,0.21999996900558472,0.050000011920928955
13,affine,-0.22816664179166157,0.7749999761581421,0.5468333343664805,0.028420596195272912,30,,0.15000003576278687,0.0
13,MLP-small,-0.2919999768336614,0.7749999761581421,0.4829999993244807,0.035443008127252616,30,,0.15000003576278687,0.0
13,MLP-medium,-0.31999997397263846,0.7749999761581421,0.4550000021855036,0.03513520870841918,30,,0.15000003576278687,0.0
13,MLP-large,-0.29949997663497924,0.7749999761581421,0.47549999952316285,0.033305012778319126,30,,0.15000003576278687,0.0
14,affine,-0.2671666463216146,0.7099999785423279,0.4428333322207133,0.028396311442569096,30,,0.2250000238418579,0.025000035762786865
14,MLP-small,-0.28766664465268454,0.7099999785423279,0.42233333388964334,0.032582345551443286,30,,0.2250000238418579,0.025000035762786865
14,MLP-medium,-0.3158333122730255,0.7099999785423279,0.39416666626930236,0.03008847295432848,30,,0.2250000238418579,0.025000035762786865
14,MLP-large,-0.30816664298375446,0.7099999785423279,0.4018333355585734,0.033463396741365906,30,,0.2250000238418579,0.025000035762786865
15,affine,-0.18183335761229197,0.7250000238418579,0.5431666662295659,0.027116713842799636,30,,0.07999998331069946,-0.06499999761581421
15,MLP-small,-0.24433335761229197,0.7250000238418579,0.48066666622956594,0.03551913371922287,30,,0.07999998331069946,-0.06499999761581421
15,MLP-medium,-0.256000022093455,0.7250000238418579,0.4690000017484029,0.03325450605999606,30,,0.07999998331069946,-0.06499999761581421
15,MLP-large,-0.24933335483074187,0.7250000238418579,0.47566666901111604,0.03125902028004568,30,,0.07999998331069946,-0.06499999761581421
16,affine,-0.35133330623308817,0.7799999713897705,0.42866666515668234,0.033112484905096246,30,,0.1350000500679016,0.0700000524520874
16,MLP-small,-0.3694999724626541,0.7799999713897705,0.4104999989271164,0.03487292466243505,30,,0.1350000500679016,0.0700000524520874
16,MLP-medium,-0.390166637301445,0.7799999713897705,0.3898333340883255,0.0401179992850165,30,,0.1350000500679016,0.0700000524520874
16,MLP-large,-0.3938333054383596,0.7799999713897705,0.3861666659514109,0.0383424503844578,30,,0.1350000500679016,0.0700000524520874
17,affine,-0.007000011205673218,0.39500001072883606,0.38799999952316283,0.026896992379723584,30,,0.31999996304512024,-0.030000001192092896
