seed,condition,T_max,t,accuracy
0,group_c1,15,14,0.611667
0,group_c1,15,15,0.675000
0,group_c2,15,1,0.860000
0,group_c2,15,2,0.750000
0,group_c2,15,3,0.795000
0,group_c2,15,4,0.785000
0,group_c2,15,5,0.775000
0,group_c2,15,6,0.735000
0,group_c2,15,7,0.745000
0,group_c2,15,8,0.750000
0,group_c2,15,9,0.735000
0,group_c2,15,10,0.755000
0,group_c2,15,11,0.695000
0,group_c2,15,12,0.720000
0,group_c2,15,13,0.725000
0,group_c2,15,14,0.730000
0,group_c2,15,15,0.770000
0,baseline,20,1,0.780000
0,baseline,20,2,0.900000
0,baseline,20,3,0.930000
0,baseline,20,4,0.955000
0,baseline,20,5,0.935000
0,baseline,20,6,0.960000
0,baseline,20,7,0.935000
0,baseline,20,8,0.960000
0,baseline,20,9,0.935000
0,baseline,20,10,0.950000
0,baseline,20,11,0.920000
0,baseline,20,12,0.930000
0,baseline,20,13,0.950000
0,baseline,20,14,0.945000
0,baseline,20,15,0.925000
0,baseline,20,16,0.940000
0,baseline,20,17,0.955000
0,baseline,20,18,0.960000
0,baseline,20,19,0.910000
0,baseline,20,20,0.940000
