seed,noise,bl_acc_t1,bl_acc_t3,bl_gain,e1_acc_t1,e1_acc_t3,e1_acc_probmean,e1_acc_logprod,e1_gain_t1_to_t3,e1_gain_probmean,e1_gain_logprod,elapsed_s
10,0.5,0.64,0.79,0.15000000000000002,0.64,0.645,0.795,0.785,0.0050000000000000044,0.15500000000000003,0.14500000000000002,
11,0.5,0.81,0.925,0.11499999999999999,0.81,0.8,0.965,0.975,-0.010000000000000009,0.15499999999999992,0.16499999999999992,
12,0.5,0.705,0.905,0.20000000000000007,0.705,0.72,0.835,0.88,0.015000000000000013,0.13,0.17500000000000004,
13,0.5,0.735,0.91,0.17500000000000004,0.735,0.67,0.845,0.86,-0.06499999999999995,0.10999999999999999,0.125,
14,0.5,0.525,0.8,0.275,0.525,0.52,0.61,0.62,-0.0050000000000000044,0.08499999999999996,0.09499999999999997,
15,0.5,0.57,0.78,0.21000000000000008,0.57,0.61,0.68,0.715,0.040000000000000036,0.1100000000000001,0.14500000000000002,
16,0.5,0.795,0.94,0.1449999999999999,0.795,0.82,0.94,0.935,0.02499999999999991,0.1449999999999999,0.14,
17,0.5,0.685,0.82,0.1349999999999999,0.685,0.67,0.865,0.86,-0.015000000000000013,0.17999999999999994,0.17499999999999993,
18,0.5,0.755,0.93,0.17500000000000004,0.755,0.79,0.92,0.945,0.03500000000000003,0.16500000000000004,0.18999999999999995,
19,0.5,0.72,0.925,0.20500000000000007,0.72,0.795,0.925,0.945,0.07500000000000007,0.20500000000000007,0.22499999999999998,
0,0.7,0.66,0.865,0.20499999999999996,0.66,0.705,0.87,0.91,0.04499999999999993,0.20999999999999996,0.25,
1,0.7,0.65,0.76,0.10999999999999999,0.65,0.615,0.78,0.8,-0.03500000000000003,0.13,0.15000000000000002,
2,0.7,0.625,0.83,0.20499999999999996,0.625,0.63,0.78,0.78,0.0050000000000000044,0.15500000000000003,0.15500000000000003,
3,0.7,0.585,0.735,0.15000000000000002,0.585,0.555,0.78,0.755,-0.029999999999999916,0.19500000000000006,0.17000000000000004,
4,0.7,0.665,0.845,0.17999999999999994,0.665,0.665,0.815,0.845,0.0,0.1499999999999999,0.17999999999999994,
5,0.7,0.565,0.81,0.2450000000000001,0.565,0.585,0.68,0.695,0.020000000000000018,0.1150000000000001,0.13,
6,0.7,0.505,0.775,0.27,0.505,0.585,0.675,0.69,0.07999999999999996,0.17000000000000004,0.18499999999999994,
7,0.7,0.68,0.79,0.10999999999999999,0.68,0.625,0.865,0.86,-0.05500000000000005,0.18499999999999994,0.17999999999999994,
8,0.7,0.615,0.83,0.21499999999999997,0.615,0.635,0.765,0.74,0.020000000000000018,0.15000000000000002,0.125,
9,0.7,0.64,0.835,0.19499999999999995,0.64,0.61,0.845,0.87,-0.030000000000000027,0.20499999999999996,0.22999999999999998,
10,0.7,0.56,0.655,0.09499999999999997,0.56,0.55,0.685,0.68,-0.010000000000000009,0.125,0.12,
11,0.7,0.65,0.8,0.15000000000000002,0.65,0.635,0.875,0.9,-0.015000000000000013,0.22499999999999998,0.25,
12,0.7,0.59,0.775,0.18500000000000005,0.59,0.59,0.745,0.77,0.0,0.15500000000000003,0.18000000000000005,
13,0.7,0.615,0.755,0.14,0.615,0.53,0.745,0.77,-0.08499999999999996,0.13,0.15500000000000003,
14,0.7,0.485,0.655,0.17000000000000004,0.485,0.445,0.54,0.525,-0.03999999999999998,0.05500000000000005,0.040000000000000036,
15,0.7,0.515,0.63,0.11499999999999999,0.515,0.54,0.58,0.645,0.025000000000000022,0.06499999999999995,0.13,
