seed,noise,bl_gain,e1_gain_logprod,residual
15,0.5,0.07999998331069946,0.16499996185302734,-0.08499997854232788
15,0.7,0.11000001430511475,0.17500001192092896,-0.06499999761581421
15,1.0,0.07000002264976501,0.13500002026557922,-0.06499999761581421
16,0.1,0.0,0.0,0.0
16,0.3,0.06499999761581421,0.07499998807907104,-0.009999990463256836
16,0.5,0.1350000500679016,0.125,0.010000050067901611
16,0.7,0.07999998331069946,0.06499999761581421,0.014999985694885254
16,1.0,0.06000000238418579,0.09999996423721313,-0.039999961853027344
17,0.1,0.20499998331069946,-0.009999990463256836,0.2149999737739563
17,0.3,0.2550000250339508,0.025000005960464478,0.23000001907348633
17,0.5,0.31999996304512024,0.10499998927116394,0.2149999737739563
17,0.7,0.21999996900558472,0.0949999988079071,0.12499997019767761
17,1.0,0.12999999523162842,0.09999999403953552,0.030000001192092896
18,0.1,0.06999999284744263,0.009999990463256836,0.06000000238418579
18,0.3,0.12999999523162842,0.050000011920928955,0.07999998331069946
18,0.5,0.1499999761581421,0.13499999046325684,0.014999985694885254
18,0.7,0.20999997854232788,0.23000001907348633,-0.020000040531158447
18,1.0,0.1300000250339508,0.18500003218650818,-0.05500000715255737
19,0.1,0.004999995231628418,0.004999995231628418,0.0
19,0.3,0.10500001907348633,0.06499999761581421,0.04000002145767212
19,0.5,0.22499996423721313,0.16499996185302734,0.06000000238418579
19,0.7,0.21999996900558472,0.1850000023841858,0.034999966621398926
19,1.0,0.12000000476837158,0.1899999976158142,-0.06999999284744263
