seed,aligner_size,aligner_params,lr,bl_gain,c2_raw_gain,group_a_gain,bias_only_gain,bias_only_acc_t1,bias_only_acc_t3,learned_bias_0,learned_bias_1,learned_bias_2,learned_bias_3,learned_bias_4,learned_bias_norm,epochs_run,best_epoch,best_val_loss,elapsed_s,aligned_logits_norm_t2,aligned_logits_norm_t3,aligned_logits_max_abs_t2,aligned_logits_max_abs_t3,feedback_norm_t2,feedback_norm_t3,tanh_saturation_fraction_t2,tanh_saturation_fraction_t3
10,bias_only,5,0.01,0.19499999284744263,-0.050000011920928955,-0.014999985694885254,0.009999990463256836,0.7649999856948853,0.7749999761581421,-0.1957295314207241,-0.6862003004657635,-1.516907907365662,0.1407519321088282,-1.6853071950767347,2.3812311835325293,496,395,0.5686999526439078,1.4841256141662598,2.381231183532529,2.381231183532529,1.6853071950767347,1.6853071950767347,1.0027887254018355,1.0027887254018355,0.0,0.0
11,bias_only,5,0.01,0.1499999761581421,-0.3400000035762787,0.009999990463256836,0.019999980926513672,0.800000011920929,0.8199999928474426,-0.15381254388842322,-0.4768500420003393,-0.2435417269942955,-0.2157029284885207,-0.2534948856826971,0.6489562731234864,149,48,0.5492306693781425,0.439375638961792,0.6489562731234865,0.6489562731234865,0.4768500420003393,0.4768500420003393,0.32057822114847084,0.32057822114847084,0.0,0.0
12,bias_only,5,0.01,0.21999996900558472,0.050000011920928955,0.029999971389770508,0.13999998569488525,0.6150000095367432,0.7549999952316284,0.3700850959010078,1.4918428730251092,0.611506775910585,1.364653792225718,1.6230201806892086,2.689418738788903,579,478,0.6794061664282218,1.9097418785095215,2.6894187387889024,2.6894187387889024,1.6230201806892086,1.6230201806892086,1.150173575418865,1.150173575418865,0.0,0.0
13,bias_only,5,0.01,0.15000003576278687,0.0,0.025000035762786865,0.05500000715255737,0.7749999761581421,0.8299999833106995,-0.38946578279821914,1.1725778541571574,-0.0031881754962423785,0.06017444890662448,0.33193301495334787,1.2807939237873764,287,186,0.5837944579154742,0.9104483127593994,1.2807939237873764,1.2807939237873764,1.1725778541571574,1.1725778541571574,0.5855756500934719,0.5855756500934719,0.0,0.0
14,bias_only,5,0.01,0.2250000238418579,0.025000035762786865,0.06499999761581421,0.07500004768371582,0.7099999785423279,0.7850000262260437,-3.636809100504306,1.2424898967324365,4.168085607965124,5.520464839076798,2.216282922843972,8.217696833413372,1743,1642,0.8247023312275072,5.394329786300659,8.21769683341337,8.21769683341337,5.520464839076798,5.520464839076798,1.9427316677980226,1.9427316677980226,0.4000000059604645,0.4000000059604645
15,bias_only,5,0.01,0.07999998331069946,-0.06499999761581421,-0.010000050067901611,0.009999990463256836,0.7250000238418579,0.7350000143051147,0.9213382874219601,0.1437224406450613,0.030368729399272563,0.58972048493858,-0.01911832909676677,1.1038923862422352,202,101,0.7375464280990179,0.6737937927246094,1.1038923862422347,1.1038923862422347,0.9213382874219601,0.9213382874219601,0.5225424663031845,0.5225424663031845,0.0,0.0
16,bias_only,5,0.01,0.1350000500679016,0.0700000524520874,-0.02499997615814209,-0.034999966621398926,0.7799999713897705,0.7450000047683716,-0.6344266852597429,0.21872904890505127,-0.08256684372195917,0.4555000320603551,-0.35113700583290736,0.8876566766261961,191,90,0.6783129449962212,0.585899829864502,0.8876566766261961,0.8876566766261961,0.6344266852597429,0.6344266852597429,0.43374827867375826,0.43374827867375826,0.0,0.0
17,bias_only,5,0.01,0.31999996304512024,-0.030000001192092896,0.10499998927116394,0.16999998688697815,0.39500001072883606,0.5649999976158142,-0.2510611888392437,-2.610085096151695,-0.8647976232473206,-0.3379261065029781,-0.16760777158774384,2.786707246450847,1825,1724,1.1081556232785492,5.4277184009552,2.7867072464508467,2.7867072464508467,2.610085096151695,2.610085096151695,0.9804626170851664,0.9804626170851664,0.0,0.0
18,bias_only,5,0.01,0.1499999761581421,0.009999990463256836,0.0,0.04999995231628418,0.7300000190734863,0.7799999713897705,-0.4060029769352181,-0.44776780898110063,-4.7106534056612475,2.009610454485909,0.0686253897849408,5.1574057004670575,1914,1813,0.6011748768752372,6.356055498123169,5.157405700467059,5.157405700467059,4.7106534056612475,4.7106534056612475,1.279652757950073,1.279652757950073,0.20000000298023224,0.20000000298023224
19,bias_only,5,0.01,0.22499996423721313,0.019999980926513672,0.009999990463256836,0.07999998331069946,0.7400000095367432,0.8199999928474426,-0.28644434949106384,-2.00498204560827,0.9827219240610355,4.432931240536313,-0.821977358906359,5.039272954551538,1219,1118,0.6764953723885413,4.044195175170898,5.039272954551538,5.039272954551538,4.432931240536313,4.432931240536313,1.3835828034502202,1.3835828034502202,0.20000000298023224,0.20000000298023224
