seed_model,group,seed_ablation,noise_level,acc_t1,acc_t2,acc_t3,gain,ece,r_norm,delta_norm
1,Baseline,0,1.0,0.535000,0.625000,0.635000,0.100000,0.222723,3.357014,6.571568
1,A,0,1.0,0.535000,0.580000,0.490000,-0.045000,0.280198,0.000000,7.006541
1,C1,avg30,1.0,0.535000,,0.430333,-0.104667,,,
1,C2,0,1.0,0.535000,0.525000,0.500000,-0.035000,0.307002,2.339974,7.520369
2,Baseline,0,0.0,1.000000,1.000000,1.000000,0.000000,0.013045,3.628347,3.292986
2,A,0,0.0,1.000000,1.000000,1.000000,0.000000,0.235276,0.000000,0.000000
2,C1,avg30,0.0,1.000000,,0.704500,-0.295500,,,
2,C2,0,0.0,1.000000,1.000000,1.000000,0.000000,0.124801,2.630676,1.578686
2,Baseline,0,0.1,1.000000,1.000000,1.000000,0.000000,0.014680,3.604048,3.418403
2,A,0,0.1,1.000000,1.000000,1.000000,0.000000,0.253033,0.000000,0.860829
2,C1,avg30,0.1,1.000000,,0.704000,-0.296000,,,
2,C2,0,0.1,1.000000,1.000000,1.000000,0.000000,0.129024,2.630183,1.791915
2,Baseline,0,0.2,0.970000,1.000000,1.000000,0.030000,0.020703,3.565442,3.716381
2,A,0,0.2,0.970000,0.965000,0.955000,-0.015000,0.238024,0.000000,1.669390
2,C1,avg30,0.2,0.970000,,0.681167,-0.288833,,,
2,C2,0,0.2,0.970000,1.000000,0.985000,0.015000,0.134666,2.630071,2.291130
2,Baseline,0,0.3,0.920000,1.000000,1.000000,0.080000,0.032304,3.529489,4.093719
2,A,0,0.3,0.920000,0.935000,0.875000,-0.045000,0.181946,0.000000,2.478972
2,C1,avg30,0.3,0.920000,,0.659000,-0.261000,,,
2,C2,0,0.3,0.920000,0.960000,0.965000,0.045000,0.138145,2.645501,2.914397
2,Baseline,0,0.4,0.820000,0.975000,0.995000,0.175000,0.049566,3.498461,4.501254
2,A,0,0.4,0.820000,0.825000,0.770000,-0.050000,0.101447,0.000000,3.258166
2,C1,avg30,0.4,0.820000,,0.630167,-0.189833,,,
2,C2,0,0.4,0.820000,0.910000,0.895000,0.075000,0.095234,2.682667,3.578398
2,Baseline,0,0.5,0.750000,0.950000,0.960000,0.210000,0.054054,3.482548,4.961497
2,A,0,0.5,0.750000,0.690000,0.715000,-0.035000,0.075345,0.000000,4.020235
2,C1,avg30,0.5,0.750000,,0.596833,-0.153167,,,
2,C2,0,0.5,0.750000,0.810000,0.845000,0.095000,0.064422,2.742257,4.274107
2,Baseline,0,0.6,0.710000,0.895000,0.940000,0.230000,0.051390,3.478128,5.450608
2,A,0,0.6,0.710000,0.630000,0.640000,-0.070000,0.082459,0.000000,4.754812
2,C1,avg30,0.6,0.710000,,0.561167,-0.148833,,,
2,C2,0,0.6,0.710000,0.705000,0.790000,0.080000,0.065054,2.800735,4.988807
2,Baseline,0,0.7,0.600000,0.815000,0.855000,0.255000,0.054969,3.486819,5.954901
2,A,0,0.7,0.600000,0.590000,0.600000,0.000000,0.100330,0.000000,5.468049
2,C1,avg30,0.7,0.600000,,0.528667,-0.071333,,,
2,C2,0,0.7,0.600000,0.665000,0.730000,0.130000,0.095445,2.860543,5.689687
2,Baseline,0,0.8,0.545000,0.735000,0.790000,0.245000,0.079627,3.509713,6.496207
2,A,0,0.8,0.545000,0.545000,0.550000,0.005000,0.171361,0.000000,6.165530
2,C1,avg30,0.8,0.545000,,0.497500,-0.047500,,,
2,C2,0,0.8,0.545000,0.635000,0.655000,0.110000,0.131291,2.926645,6.380421
2,Baseline,0,0.9,0.490000,0.660000,0.705000,0.215000,0.129821,3.549093,7.068743
2,A,0,0.9,0.490000,0.510000,0.500000,0.010000,0.209061,0.000000,6.850600
2,C1,avg30,0.9,0.490000,,0.468667,-0.021333,,,
2,C2,0,0.9,0.490000,0.580000,0.610000,0.120000,0.196210,2.990904,7.059231
2,Baseline,0,1.0,0.415000,0.625000,0.650000,0.235000,0.178062,3.599130,7.664834
2,A,0,1.0,0.415000,0.480000,0.475000,0.060000,0.247877,0.000000,7.528161
2,C1,avg30,1.0,0.415000,,0.445833,0.030833,,,
2,C2,0,1.0,0.415000,0.525000,0.555000,0.140000,0.224242,3.055491,7.728499
3,Baseline,0,0.0,1.000000,1.000000,1.000000,0.000000,0.060500,3.731989,2.947729
3,A,0,0.0,1.000000,1.000000,1.000000,0.000000,0.240434,0.000000,0.000000
3,C1,avg30,0.0,1.000000,,0.835500,-0.164500,,,
3,C2,0,0.0,1.000000,0.580000,0.790000,-0.210000,0.202731,3.205668,1.436639
3,Baseline,0,0.1,0.925000,1.000000,1.000000,0.075000,0.064661,3.731548,3.039978
3,A,0,0.1,0.925000,0.940000,0.915000,-0.010000,0.161714,0.000000,0.711387
3,C1,avg30,0.1,0.925000,,0.822333,-0.102667,,,
3,C2,0,0.1,0.925000,0.620000,0.715000,-0.210000,0.100042,3.173013,1.725572
3,Baseline,0,0.2,0.900000,0.985000,0.985000,0.085000,0.066882,3.743672,3.283366
3,A,0,0.2,0.900000,0.920000,0.890000,-0.010000,0.178386,0.000000,1.427377
3,C1,avg30,0.2,0.900000,,0.788167,-0.111833,,,
3,C2,0,0.2,0.900000,0.630000,0.660000,-0.240000,0.051628,3.129564,2.217246
3,Baseline,0,0.3,0.860000,0.955000,0.960000,0.100000,0.062647,3.780902,3.632781
3,A,0,0.3,0.860000,0.890000,0.880000,0.020000,0.168109,0.000000,2.143386
3,C1,avg30,0.3,0.860000,,0.742833,-0.117167,,,
3,C2,0,0.3,0.860000,0.650000,0.585000,-0.275000,0.070680,3.080165,2.760839
3,Baseline,0,0.4,0.800000,0.885000,0.895000,0.095000,0.067755,3.833296,4.047433
3,A,0,0.4,0.800000,0.800000,0.795000,-0.005000,0.113568,0.000000,2.851032
3,C1,avg30,0.4,0.800000,,0.696500,-0.103500,,,
3,C2,0,0.4,0.800000,0.640000,0.535000,-0.265000,0.136602,3.034542,3.341817
