seed,w1,w2,tau,gain,acc_t1,acc_t3,final_loss
0,0.5,1.0,2.0,0.10999999999999999,0.83,0.94,0.27459337986607396
1,0.5,1.0,2.0,0.05500000000000005,0.86,0.915,0.18587069934593572
2,0.5,1.0,2.0,0.135,0.815,0.95,0.23820200501991823
3,0.5,1.0,2.0,0.135,0.725,0.86,0.3734143107852197
4,0.5,1.0,2.0,0.10000000000000009,0.835,0.935,0.2247601977127175
5,0.5,1.0,2.0,0.16999999999999993,0.78,0.95,0.26712677714662186
6,0.5,1.0,2.0,0.17500000000000004,0.695,0.87,0.5482818595503367
7,0.5,1.0,2.0,0.06500000000000006,0.84,0.905,0.36465940963497173
8,0.5,1.0,2.0,0.16500000000000004,0.755,0.92,0.3235778543890839
9,0.5,1.0,2.0,0.10499999999999998,0.87,0.975,0.19967323860925315
0,0.5,1.0,3.0,0.10999999999999999,0.83,0.94,0.2661401427641407
1,0.5,1.0,3.0,0.06500000000000006,0.865,0.93,0.1855096560175201
2,0.5,1.0,3.0,0.13,0.815,0.945,0.2451979816577576
3,0.5,1.0,3.0,0.10499999999999998,0.72,0.825,0.3810819017902567
4,0.5,1.0,3.0,0.08500000000000008,0.845,0.93,0.2366256517724211
5,0.5,1.0,3.0,0.15500000000000003,0.78,0.935,0.3101327849924816
6,0.5,1.0,3.0,0.17000000000000004,0.71,0.88,0.5437025518245386
7,0.5,1.0,3.0,0.07000000000000006,0.835,0.905,0.3690626972945443
8,0.5,1.0,3.0,0.135,0.765,0.9,0.3426002188752166
9,0.5,1.0,3.0,0.11499999999999999,0.855,0.97,0.2225643956326314
0,0.7,0.2,1.0,0.12,0.81,0.93,0.3680831176807502
1,0.7,0.2,1.0,0.03500000000000003,0.88,0.915,0.2396291164428675
2,0.7,0.2,1.0,0.13,0.83,0.96,0.2928566748490884
3,0.7,0.2,1.0,0.135,0.74,0.875,0.35792370046491023
4,0.7,0.2,1.0,0.10999999999999999,0.83,0.94,0.26512062849951346
5,0.7,0.2,1.0,0.17500000000000004,0.76,0.935,0.3151284470049922
6,0.7,0.2,1.0,0.16999999999999993,0.665,0.835,0.6054398272453273
7,0.7,0.2,1.0,0.040000000000000036,0.845,0.885,0.4364918610415214
8,0.7,0.2,1.0,0.16500000000000004,0.755,0.92,0.3739433015803108
9,0.7,0.2,1.0,0.09999999999999998,0.86,0.96,0.2376875340173443
0,0.7,0.2,1.5,0.10000000000000009,0.83,0.93,0.344956668997294
1,0.7,0.2,1.5,0.03500000000000003,0.875,0.91,0.23651167763963116
2,0.7,0.2,1.5,0.13,0.825,0.955,0.2922128211925024
3,0.7,0.2,1.5,0.17000000000000004,0.725,0.895,0.3708786832408167
4,0.7,0.2,1.5,0.08500000000000008,0.845,0.93,0.2549214231395298
5,0.7,0.2,1.5,0.16499999999999992,0.775,0.94,0.31967111957137123
6,0.7,0.2,1.5,0.15500000000000003,0.695,0.85,0.5675745497540496
7,0.7,0.2,1.5,0.04500000000000004,0.845,0.89,0.40352124352161733
8,0.7,0.2,1.5,0.17000000000000004,0.75,0.92,0.3623674771561938
9,0.7,0.2,1.5,0.09499999999999997,0.865,0.96,0.2503863771941044
0,0.7,0.2,2.0,0.09000000000000008,0.84,0.93,0.32839050856191404
1,0.7,0.2,2.0,0.06000000000000005,0.865,0.925,0.23263926175914762
2,0.7,0.2,2.0,0.135,0.825,0.96,0.2927165326437385
3,0.7,0.2,2.0,0.14,0.745,0.885,0.38776283242276294
4,0.7,0.2,2.0,0.08000000000000007,0.855,0.935,0.2582220879949937
5,0.7,0.2,2.0,0.15500000000000003,0.78,0.935,0.3328039338876123
