seed_model,setting,group,noise_level,gain,acc_t1,acc_t3
9,static,C2-affine,0.5,-0.010000000000000009,0.79,0.78
9,vn,C2-affine,0.5,0.14,0.775,0.915
9,static,C2-mlp,0.5,0.015000000000000013,0.79,0.805
9,vn,C2-mlp,0.5,0.17499999999999993,0.775,0.95
18,static,C2,0.5,0.010000000000000009,0.76,0.77
18,static,Baseline,0.5,0.03500000000000003,0.76,0.795
18,vn,Baseline,0.5,0.17500000000000004,0.755,0.93
18,vn,A,0.5,0.03500000000000003,0.755,0.79
18,vn,C1,0.5,-0.13016666666666668,0.7549999999999998,0.6248333333333332
18,vn,C2,0.5,0.04500000000000004,0.755,0.8
18,static,C2-affine,0.5,0.0,0.76,0.76
18,vn,C2-affine,0.5,0.030000000000000027,0.755,0.785
18,static,C2-mlp,0.5,0.04500000000000004,0.76,0.805
18,vn,C2-mlp,0.5,0.10999999999999999,0.755,0.865
