seed,setting,group,gain,params
15,static,C2-MLP-small,0.07499999999999996,181
15,vn,C2-MLP-small,0.19500000000000006,181
15,static,C2-MLP-medium,0.08999999999999997,4869
15,vn,C2-MLP-medium,0.21000000000000008,4869
15,static,C2-MLP-large,0.06999999999999995,17925
15,vn,C2-MLP-large,0.18000000000000005,17925
16,static,Baseline,0.07499999999999996,0
16,static,C2-raw,0.030000000000000027,0
16,vn,Baseline,0.1449999999999999,0
16,vn,C2-raw,-0.010000000000000009,0
16,static,C2-affine,0.015000000000000013,30
16,vn,C2-affine,0.135,30
16,static,C2-MLP-small,0.06999999999999995,181
16,vn,C2-MLP-small,0.12,181
16,static,C2-MLP-medium,0.06999999999999995,4869
16,vn,C2-MLP-medium,0.12,4869
16,static,C2-MLP-large,0.06499999999999995,17925
16,vn,C2-MLP-large,0.11499999999999999,17925
17,static,Baseline,0.08500000000000008,0
17,static,C2-raw,-0.04499999999999993,0
17,vn,Baseline,0.1349999999999999,0
17,vn,C2-raw,0.0,0
17,static,C2-affine,0.010000000000000009,30
17,vn,C2-affine,0.11499999999999999,30
17,static,C2-MLP-small,0.050000000000000044,181
17,vn,C2-MLP-small,0.1299999999999999,181
17,static,C2-MLP-medium,0.03500000000000003,4869
17,vn,C2-MLP-medium,0.1299999999999999,4869
17,static,C2-MLP-large,0.040000000000000036,17925
17,vn,C2-MLP-large,0.1399999999999999,17925
18,static,Baseline,0.03500000000000003,0
18,static,C2-raw,0.010000000000000009,0
18,vn,Baseline,0.17500000000000004,0
18,vn,C2-raw,0.04500000000000004,0
18,static,C2-affine,0.025000000000000022,30
18,vn,C2-affine,0.04500000000000004,30
18,static,C2-MLP-small,0.05499999999999994,181
18,vn,C2-MLP-small,0.09999999999999998,181
18,static,C2-MLP-medium,0.04500000000000004,4869
18,vn,C2-MLP-medium,0.10499999999999998,4869
18,static,C2-MLP-large,0.020000000000000018,17925
18,vn,C2-MLP-large,0.10999999999999999,17925
19,static,Baseline,-0.029999999999999916,0
19,static,C2-raw,-0.2849999999999999,0
19,vn,Baseline,0.20500000000000007,0
19,vn,C2-raw,-0.18499999999999994,0
19,static,C2-affine,-0.020000000000000018,30
19,vn,C2-affine,0.14,30
19,static,C2-MLP-small,-0.010000000000000009,181
19,vn,C2-MLP-small,0.15000000000000002,181
19,static,C2-MLP-medium,-0.025000000000000022,4869
19,vn,C2-MLP-medium,0.16000000000000003,4869
19,static,C2-MLP-large,-0.015000000000000013,17925
19,vn,C2-MLP-large,0.14500000000000002,17925
