seed_model,trial,wrong_trial,pred_t1,correct_t1,cos_div_t2,cos_div_t3,cos_div_mean
1,34,50,4,0,0.24540307558446073,0.18321776647449617,0.21431042102947845
1,35,110,3,1,0.0013747188373682828,0.0007431081230275804,0.0010589134801979316
1,36,182,2,1,0.046430041538775835,0.005796209718586409,0.026113125628681122
1,37,174,1,1,0.19183077759866363,0.020731209688054975,0.1062809936433593
1,38,178,3,1,0.06705404324748088,0.02913147561812446,0.04809275943280267
1,39,41,3,1,0.23601867885240202,0.16930927298483855,0.2026639759186203
1,40,153,2,0,0.7892022496523178,0.7675459734899515,0.7783741115711347
1,41,38,3,1,0.10533604000596564,0.10205161730463186,0.10369382865529875
1,42,40,2,0,0.28318993940629344,0.21635708978404822,0.24977351459517083
1,43,49,0,0,0.9186850196906344,0.2625171694357056,0.59060109456317
1,44,34,4,0,0.17386677413219587,0.22721749894108367,0.20054213653663977
1,45,82,3,1,0.016761142813058627,0.009597085375502079,0.013179114094280353
1,46,67,0,1,0.15179419653097626,0.0016245526600422444,0.07670937459550925
1,47,89,1,1,0.1832277878021482,0.07653691301957877,0.1298823504108635
1,48,79,1,1,0.2343639800139763,0.2339032680325237,0.23413362402325
1,49,43,0,0,0.9186850196906344,0.2625171694357056,0.59060109456317
1,50,27,4,0,0.2632978312025641,0.2903146367974484,0.27680623400000626
1,51,76,3,1,0.1947719518890063,0.4439370393703437,0.319354495629675
1,52,54,2,1,0.10881343326681381,0.01642542407974612,0.06261942867327996
1,53,157,2,0,0.4846734349688223,0.5659999372629735,0.5253366861158979
1,54,186,2,1,0.20005342584932373,0.09259942337420657,0.14632642461176515
1,55,86,3,1,0.16256982022124122,0.27669165274353713,0.21963073648238918
1,56,94,4,0,0.4801476794866819,0.8026353850978583,0.6413915322922701
1,57,48,1,1,0.09123317077587123,0.07089565082335736,0.0810644107996143
1,58,47,1,1,0.0030664038375717295,0.029057839684073272,0.0160621217608225
1,59,43,0,0,0.2745345201948872,0.03345516445858354,0.15399484232673538
1,60,81,3,1,0.1469385301102022,0.1299855818109764,0.1384620559605893
1,61,55,3,1,0.12552886873058278,0.12613864343363312,0.12583375608210795
1,62,95,0,1,0.36950348561835866,0.036177557942916105,0.20284052178063738
1,63,146,4,1,0.011550405665534114,0.020828105463800983,0.01618925556466755
1,64,51,3,1,0.3576397305893595,0.6081053131343093,0.4828725218618344
1,65,150,2,0,1.2061222171641939,0.9242802886620107,1.0652012529131023
1,66,113,2,1,0.017127601378876922,0.06638850610379399,0.041758053741335455
1,67,62,0,1,0.2950337594924479,0.017288497342516362,0.15616112841748214
1,68,129,0,1,0.45528473641701994,0.0236232369142374,0.23945398666562867
1,69,63,4,1,0.12871053291853407,0.19564180991639535,0.1621761714174647
1,70,181,0,1,0.02203854099702196,0.003912794790439156,0.012975667893730558
1,71,125,2,0,0.202846822811663,0.3742185581192995,0.28853269046548125
1,72,20,4,1,0.05773006094942568,0.15855244314449646,0.10814125204696107
1,73,116,4,0,0.7762010953676395,1.6517377372012922,1.2139694162844659
1,74,76,3,1,0.11261743961208825,0.02239336742426612,0.06750540351817719
1,75,133,2,0,0.007942609949958546,0.0001358061298709634,0.0040392080399147545
1,76,139,3,1,0.2574002683037263,0.10179177055752575,0.17959601943062603
1,77,93,1,1,0.6532503886901657,0.28026135134620456,0.46675587001818514
1,78,118,3,1,0.028742560540624185,0.0144183183760076,0.021580439458315892
1,79,5,1,1,0.1035654460499088,0.06032769595170906,0.08194657100080893
1,80,44,4,0,0.14212284476351555,0.12084718545752426,0.1314850151105199
1,81,191,3,1,0.16211722141287965,0.12751668162988827,0.14481695152138396
1,82,38,3,1,0.08660904578785988,0.10726265265451373,0.09693584922118681
1,83,14,4,1,0.015245726717055263,0.014795904350994205,0.015020815534024734
1,84,4,2,1,0.3871977973068502,0.011334071502442922,0.19926593440464657
1,85,99,2,1,0.03882877342387747,0.09923798646250304,0.06903337994319025
1,86,81,3,1,0.206060236964402,0.31421391408101107,0.26013707552270654
1,87,16,0,1,0.04280558606936391,0.00793642745940637,0.02537100676438514
1,88,187,2,1,0.14841778428487085,0.0984030656413547,0.12341042496311277
1,89,197,1,1,0.07905304323499196,0.033179551961421416,0.05611629759820669
1,90,41,3,1,0.18357861691068866,0.06833184774662415,0.1259552323286564
1,91,143,4,1,0.1615289743392101,0.06494593293550688,0.11323745363735849
1,92,94,4,0,0.49218712021616273,0.9807150457070499,0.7364510829616063
1,93,37,1,1,0.7450360164832084,0.3096934599212974,0.5273647382022528
1,94,80,4,0,0.15082605000480076,0.9175316007242604,0.5341788253645305
1,95,102,0,1,0.11698365484098328,0.018059253544460252,0.06752145419272176
